Date,Close,Open,High,Low,Volume,Change %
2018-05-10,7571.0,7547.46,7630.29,7531.66,98270.0,0.21%
2018-05-11,7752.11,7625.1,7760.26,7625.1,118700.0,2.39%
2018-05-15,7885.97,7771.9,7906.45,7765.46,163630.0,1.73%
2018-05-16,7869.56,7869.48,7869.56,7751.33,159990.0,-0.21%
2018-05-17,7694.12,7855.9,7855.9,7694.12,134750.0,-2.23%
2018-05-18,7672.28,7742.39,7742.39,7639.15,82270.0,-0.28%
2018-05-21,7658.05,7693.22,7715.66,7658.05,68850.0,-0.19%
2018-05-22,7646.2,7698.23,7698.65,7633.52,83420.0,-0.15%
2018-05-23,7560.47,7673.62,7673.62,7517.56,102140.0,-1.12%
2018-05-24,7652.53,7573.67,7652.53,7555.45,72440.0,1.22%
2018-05-25,7647.51,7673.82,7674.29,7605.98,80100.0,-0.07%
2018-05-28,7642.9,7669.96,7669.96,7598.13,76890.0,-0.06%
2018-05-29,7602.36,7662.37,7662.37,7585.16,94260.0,-0.53%
2018-05-30,7470.14,7575.38,7575.38,7461.73,115660.0,-1.74%
2018-05-31,7497.17,7496.11,7537.63,7457.05,387820.0,0.36%
2018-06-01,7630.26,7499.9,7630.26,7487.37,113340.0,1.78%
2018-06-04,7579.61,7619.38,7620.13,7551.89,77620.0,-0.66%
2018-06-05,7685.76,7594.55,7685.76,7550.64,133330.0,1.40%
2018-06-06,7689.14,7666.77,7702.33,7654.13,105620.0,0.04%
2018-06-07,7803.31,7693.3,7814.88,7687.94,157560.0,1.48%
2018-06-08,7740.74,7803.35,7803.35,7718.33,82460.0,-0.80%
2018-06-11,7771.3,7738.28,7779.26,7699.67,60730.0,0.39%
2018-06-13,7602.98,7722.43,7723.85,7553.74,124820.0,-2.17%
2018-06-14,7529.54,7553.8,7561.44,7479.57,280510.0,-0.97%
2018-06-18,7414.11,7403.93,7414.11,7328.3,137550.0,-1.53%
2018-06-19,7312.61,7347.44,7348.23,7253.12,124240.0,-1.37%
2018-06-20,7261.62,7316.29,7349.74,7261.01,116210.0,-0.70%
2018-06-21,7098.15,7262.73,7271.21,7092.16,147420.0,-2.25%
